artist,title,track_id_url,lyric
  우주히피  ,여기,https://open.spotify.com/track/3zuJ3ar76E2Cr6FmKmlTVe?si=93bc69f980244268,여기 언젠가 와 본 적 있는지 왠지 낯설지 않아 저기 보이는 골목을 돌며 우리 두 손을 잡았지 예전에 우리를 좋았던 그때를 추억하는 나는 초라해 그대가 멀리서 반짝일수록 눈이 부신 만큼 더 해 우리 오래 전 걷던 길 위에 아직 머물러 이대로 날 기다리던 언젠가의 너를 나는 기다려 혼자 예전에 우리를 좋았던 그때를 추억하는 나는 초라해 그대가 멀리서 반짝일수록 눈이 부신 만큼 더 해 그대가 나에게 순간을 말할 때 내일이 없던 난 믿었어 이렇게 떨어져 멀어지는 게 너무나 아프고 싫어
  이스트코너 (East Corner)  ,봄이니까,https://open.spotify.com/track/2eN5JtLDPOMVMdPnqHCGL0?si=2d8663ec270641ad,길었던 겨울도 이제 끝났나 봐 가벼워진 옷처럼 마음도 들떠있어 추워서 싫다고 집에만 있다던 너를 보러 갈까 그래도 될 것 같아 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까 겨울이 지나고 이제는 널 만나러 가고 있어 모든 게 설레는 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까 포근한 날씨처럼 내게 맘을 열어줘 저기 멀리서 너의 모습이 보여 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까
  비누도둑  ,당근주스,https://open.spotify.com/track/3ncgaVpk6UJBCwAuPp6cTB?si=a588d06f736c40b7,당근 주스 당근 주스 당근 주스 당근 주스다 아무리 니가 남들과 다르려 해도 아무리 새로운 걸 고민해봐도 지구 밖 다른 별로 가지 않는 한 완벽히 새로운 건 없어 당근 주스 당근 주스 당근 주스 당근 주스다 당근만 가지고는 주스가 안돼 오렌지 사과즙이 필요한거야 만들기 어려운건 순수가 아냐 조율이 중요한거야 당근 주스 당근 주스 당근 주스 당근 주스다
  밀크티  ,프롬 (From),https://open.spotify.com/track/2TGZSw4ncap24ekxzutYon?si=098df9006f5d442a,어릴 적엔 비가 오는게 싫었어 운동장 밖에 엄마들 속에 안긴 너를 볼 때면 그땐 그게 너무나 아팠었나 봐 혼자라는 생각이 내 머릿속에 가득 차 있었어 사랑 받고 있었을 텐데 단지 조금 바빴을 뿐인데 사랑 받고 있었을 텐데 분명 함께 있었을 텐데 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 어릴 적엔 혼자 있는게 싫었어 작은방 안에 앉아서 창밖에 너를 볼 때면 그땐 그게 너무나 아팠었나 봐 혼자라는 생각이 내 머릿속에 가득 차 있었어 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 from top to me from top to me from top to me 사랑 받고 있었을 텐데 단지 조금 바빴을 뿐인데 사랑 받고 있었을 텐데 분명 함께 있었을 텐데 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 from top to me from top to me from top to me
  스키니죠 (Skinnyjoe)  ,#18 (Egolog),https://open.spotify.com/track/3BzY2pPUMPhYYyMqLQ0IL5?si=d724240467594b25,Watching the pearly grass Summertime sadness through the storm Darkest days are over But still feeling kind of blue My soul burns to the ground Drag me to hell My bones and the crown Fall into oblivion Separate part to part Scattered on the meadow Truth is the only savior The last page of the logbook
  권나무  ,마부의 노래,https://open.spotify.com/track/3xlCsV6eMctk7rl1NNBZMc?si=e12b2eeb7c2745d1,큰 바퀴 마차를 몰고 모자엔 하얀 깃을 꽂고 한적한 숲길을 따라 아름다운 나의 그녀를 찾아 나 비록 가진 게 없고 이 몸과 내 마차뿐이지만 새들의 노랫소리에 맞춰 밤새 휘파람을 불며 나무로 된 궁전을 짓겠어요 어느 언덕에 잠자는 그녀를 깨워 창문에 흰 커튼을 묶고 한적한 숲길을 따라 벼가 익는 마을을 찾아 나 비록 가진 게 없고 이 몸과 내 마차뿐이지만 새들의 노랫소리에 맞춰 밤새 휘파람을 불며 나무로 된 궁전을 짓겠어요 어느 언덕에 과일들과 노래와 이야기들이 흐르는 저녁에 나의 허풍 속에 숨겨진 귀여움을 찾아내는 멋진 그대와 긴 밤의 촛불을 끄겠소 과일들과 노래와 이야기들이 흐르는 저녁에 나의 허풍 속에 숨겨진 귀여움을 찾아내는 멋진 그대와 긴 밤의 촛불을 끄겠소 촛불을 끄겠소 촛불을 끄겠소 촛불을 끄겠소 촛불을 끄겠소
  스위트 피  ,오로라 (Feat. 프롬),https://open.spotify.com/track/4K9X9P18laY0DsdvtUHhfK?si=9fc9e3a92afe4be5,아무런 느낌도 없어 눈을 감지 않았지 우리 입 맞추는 동안 더 이상 아무것도 돌아 보지 않았지 이게 마지막 인걸 너무 잘 알고 있기에 후회는 없었기에 너를 보내줄게 그저 행복하기만 바란다는 거짓말도 함께 보낼게 사실 난 자신 없지만 더는 울지 않았지 초라해지긴 싫어 애써 미소를 지어봤어 의미는 없겠지만 아직 지우지 못한 너의 사진을 바라보면서 한숨짓던 시간들도 모두 안녕 이제 정말 안녕
  톰톰  ,아무일도 없는 밤 ,https://open.spotify.com/track/1j0piubaTEau6RzGoZWe8S?si=437e4624a3bd4021,설레는 맘을 안고 나선 거리 잠을 잊은 사람들 사이 잔뜩 차려 입고 찾는 오늘 이 밤의 말동무 달콤한 향기로 가득 찬 작은 술집 슬쩍 눈이 마주쳤던 순간 무슨 일이 생기진 않을까 기대를 했지만 아무 일도 없었네 그냥 술만 마시네 말을 거는 사람은 하나도 없었어 그냥 지나쳐 가네 아무리 춤을 춰도 의도한 건 아닌데 아주 건전하게 밤은 흘러가네 자리를 옮겨 조용한 바에 앉아 쓸데없이 비싼 술을 시키고 말을 건네 봐도 괜찮다 싶은 사람을 찾네 힐끗 눈이 마주치는 순간 나를 보며 미소 짓는 한 여자 이건 뭔가 괜찮다 싶어 다가가 보지만 아무 일도 없었네 그냥 술만 마시네 말을 거는 사람은 하나도 없었어 그냥 지나쳐 가네 아무리 춤을 춰도 의도한 건 아닌데 아주 건전하게 밤은 흘러가네 설레는 맘을 안고 나선 거리 점점 취해가는 사람들 사이 혼자 취해보려 해봐도 피로만 깊어가고 얄팍한 사랑을 속삭이는 남자 모른 척 그걸 받아주는 여자 모든 게 쉬운 이 거리에서 나만 이렇게 아무 일도 없었네 그냥 술만 마시네 말을 거는 사람은 하나도 없었어 그냥 지나쳐 가네 아무리 춤을 춰도 의도한 건 아닌데 아주 건전하게 밤은 흘러가네 건전하게 밤은 흘러가고 나만 이렇게 혼자 서있네
  Moon in Suit  ,Indian Song,https://open.spotify.com/track/6jqDbGJs869Yn5y0OANM9E?si=6101fd6af0d342c7,Should this life sometime deceive you Don’t be sad or mad at all On a gloomy one day submit Trust fair day will come When darkness deepens memories shine brighter A song everyone every indian know it When you can see the trouble ahead When you’re lonely hurt you again When the wind is blowing in your face Sing this indian song Should this life sometime deceive you Don’t be sad or mad at all On a gloomy one day submit Trust fair day will come When darkness deepens memories shine brighter A song everyone every Indian know it When you can see the trouble ahead When you’re lonely hurt you again When the wind is blowing in your face Sing this Indian song When the pain is coming down again sing this song When the wind is blowing in your face sing this song When the pain is coming down again sing this song When the wind is blowing in your face sing this song Sing this Indian song Sing this Indian song Sing this Indian song Sing this Indian song
  스탠딩 에그  ,Starry Night,https://open.spotify.com/track/7qFrkjLoz7rL7mV2aYhVsj?si=cc68c04b75644d19,한 번도 본 적 없는 별하늘 가득한 밤 한참을 바라보네 아무런 말없이 별 하나 떨어지면 기도를 하기로 해 서로를 꼭 안고서 기다리기로 해 너는 내 꿈속으로 나는 네 꿈속으로 오늘 밤 같은 꿈에 서있어 here we are close to star 이대로 그대와 영원히 머물고 싶은 걸 here we are close to star 끝없이 가득한 별하늘 그리고 너와 나 너는 내 꿈속으로 나는 네 꿈속으로 오늘 밤 같은 꿈에 서있어 here we are close to star 이대로 그대와 영원히 머물고 싶은 걸 here we are close to star 끝없이 가득한 별하늘 그리고 너와 나 별 쏟아지는 밤하늘 끝에다 넌 어떤 바램들을 새기고 있을까 starry night
